time,altitude,groundspeed,true_airspeed,vertical_rate,mass,fuel_flow
6666.0,21522.109375,494.0,470.084283071201,-3170.0000000000105,64246.8404464722,0.17260128612630057
6667.0,21470.5625,494.0,469.76046255571,-3171.1328125000105,64246.8404464722,0.14493688617367279
6668.0,21422.109375,493.64453125,469.482157798298,-3181.132812499989,64246.8404464722,0.1279547402875811
6669.0,21369.65625,493.0,469.172533606074,-3191.132812499989,64246.8404464722,0.13417194602700555
6670.0,21313.65625,492.64453125,468.8352107577739,-3201.1328125,64246.8404464722,0.13708564599355055
6671.0,21258.109375,492.0,468.626007694606,-3211.1328125,64246.8404464722,0.13764476139253615
6672.0,21205.65625,492.0,468.462185619872,-3222.2656250000105,64246.8404464722,0.14049939987327276
6673.0,21149.65625,491.64453125,468.1463542289701,-3240.0,64246.8404464722,0.14581887102841112
6674.0,21094.5625,491.0,468.065264335602,-3238.8671875,64246.8404464722,0.151866767175185
6675.0,21045.65625,491.0,467.950431694142,-3226.60156249997,64246.8404464722,0.1607102403168878
6676.0,20990.109375,490.64453125,467.63855084812894,-3196.6015625,64246.8404464722,0.17851530957190945
6677.0,20937.65625,490.0,467.0818684775981,-3168.8671875000105,64246.8404464722,0.1839174668071789
6678.0,20881.65625,489.64453125,466.320876829655,-3161.1328125000105,64246.8404464722,0.1573555479229739
6679.0,20826.5625,489.0,465.82784409217993,-3169.99999999998,64246.8404464722,0.1602692478895189
6680.0,20778.5625,489.0,465.464144821344,-3167.73437499997,64246.8404464722,0.1599896901900261
6681.0,20729.65625,488.64453125,465.680307168384,-3146.6015625,64246.8404464722,0.15674524590295444
6682.0,20674.109375,488.0,465.556443764897,-3118.8671875,64246.8404464722,0.14907119018025722
6683.0,20621.65625,487.64453125,465.270098212028,-3111.1328125000105,64246.8404464722,0.14615749021371222
6684.0,20566.5625,487.0,465.055570557362,-3120.0,64246.8404464722,0.14699616331219056
6685.0,20518.109375,487.0,464.946964772798,-3117.734375,64246.8404464722,0.14890188058760612
6686.0,20466.109375,486.64453125,464.84233618041605,-3095.46875,64246.8404464722,0.14649610939901334
6687.0,20414.109375,486.0,464.70460569939,-3057.734375,64246.8404464722,0.1446415787446311
6688.0,20362.109375,485.64453125,464.546052783873,-3036.60156250003,64246.8404464722,0.14952005747240055
6689.0,20310.5625,485.0,464.267602072044,-3006.60156250003,64246.8404464722,0.14486994982308998
6690.0,20262.5625,485.0,463.74899498624296,-2975.46875,64246.8404464722,0.14498019792993225
6691.0,20214.109375,484.64453125,463.06178272286905,-2936.6015625,64246.8404464722,0.14772458830382668
6692.0,20162.5625,484.0,462.566347547597,-2907.734375,64246.8404464722,0.14890188058760612
6693.0,20115.015625,483.64453125,461.93061009837305,-2889.999999999989,64246.8404464722,0.1490121286944489
6694.0,20070.5625,483.0,461.421832447042,-2891.1328125000105,64246.8404464722,0.15315430756580722
6695.0,20022.5625,482.64453125,460.536508442256,-2902.2656250000105,64246.8404464722,0.157694167108275
6696.0,19974.5625,482.0,459.846564046044,-2923.3984375,64246.8404464722,0.15623731712500277
6697.0,19926.5625,481.64453125,459.411420105773,-2955.6640625,64246.8404464722,0.15679643252398834
6698.0,19878.109375,481.0,458.98331336338896,-3004.53125,64246.8404464722,0.15797372480776778
6699.0,19826.109375,480.64453125,458.9327710588111,-3044.53125,64246.8404464722,0.15612706901816056
6700.0,19774.109375,480.0,458.852658697652,-3083.3984375,64246.8404464722,0.15461115754907945
6701.0,19722.109375,480.0,458.224507079177,-3112.2656250000105,64246.8404464722,0.15853284020675334
6702.0,19669.65625,480.0,457.86923468664,-3131.1328125000105,64246.8404464722,0.15926126519839
6703.0,19614.5625,479.64453125,457.76822334248,-3140.0000000000105,64246.8404464722,0.16093861139534665
6704.0,19565.65625,479.0,457.724933812711,-3142.2656250000105,64246.8404464722,0.16335225744871446
